"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"MSR1" 5.83384003017937e-22 -0.378595349279278 0.735 0.729 1.16676800603587e-18 "0" "MSR1"
"RPS11" 5.89206040468115e-18 -0.257317028136859 0.508 0.523 1.17841208093623e-14 "0" "RPS11"
"RPS4X" 1.34156399846567e-17 -0.296579084885468 0.657 0.639 2.68312799693134e-14 "0" "RPS4X"
"NTRK2" 1.37654018208008e-17 -0.255909772466588 0.708 0.686 2.75308036416015e-14 "0" "NTRK2"
"SPATS2L" 9.87657244102042e-17 -0.283447099193335 0.66 0.675 1.97531448820408e-13 "0" "SPATS2L"
"CD163L1" 2.98761886272778e-15 -0.259111157378948 0.414 0.4 5.97523772545557e-12 "0" "CD163L1"
"CACNB4" 5.53242049171994e-14 0.31980456213774 0.453 0.476 1.10648409834399e-10 "0" "CACNB4"
"RORA" 5.80896532168812e-14 -0.296519629238794 0.863 0.822 1.16179306433762e-10 "0" "RORA"
"LITAF" 3.67875753051584e-08 -0.35614383948413 0.753 0.721 7.35751506103169e-05 "0" "LITAF"
"WWP1" 9.50244801685431e-07 -0.256063786613034 0.606 0.596 0.00190048960337086 "0" "WWP1"
"CADM2" 0.000367928300051814 -0.277391124245623 0.743 0.724 0.735856600103628 "0" "CADM2"
"LINC02057" 0.000391389585099736 0.353851677352809 0.448 0.441 0.782779170199472 "0" "LINC02057"
"PADI2" 0.000572404667187513 -0.288199391243339 0.877 0.844 1 "0" "PADI2"
"TPRG1.1" 0 1.67402127326657 0.877 0.836 0 "1" "TPRG1"
"PTPRG.1" 0 1.52259118677362 0.911 0.904 0 "1" "PTPRG"
"MYO1E.1" 0 1.42925668023323 0.938 0.902 0 "1" "MYO1E"
"CD83.1" 0 1.17830616880649 0.912 0.909 0 "1" "CD83"
"DPYD.1" 0 1.14082938858462 0.909 0.825 0 "1" "DPYD"
"SPP1.1" 0 0.969107550508638 0.886 0.858 0 "1" "SPP1"
"SAMD4A.1" 0 0.814245901253861 0.875 0.819 0 "1" "SAMD4A"
"EYA2.1" 0 0.810572340579938 0.904 0.897 0 "1" "EYA2"
"PPARG.1" 0 0.806364445113425 0.83 0.762 0 "1" "PPARG"
"WIPF3.1" 0 0.794170906087627 0.933 0.923 0 "1" "WIPF3"
"XYLT1.1" 0 0.782232326126792 0.884 0.861 0 "1" "XYLT1"
"GLDN" 0 0.777062615903668 0.918 0.874 0 "1" "GLDN"
"MITF.1" 0 0.760223244324762 0.828 0.789 0 "1" "MITF"
"ZNF804A.1" 0 0.750675906378932 0.679 0.712 0 "1" "ZNF804A"
"ARID5B.1" 0 0.742879630986861 0.847 0.832 0 "1" "ARID5B"
"GAS7.1" 0 0.714693988081171 0.864 0.837 0 "1" "GAS7"
"GPNMB.1" 0 0.707002332000413 0.819 0.835 0 "1" "GPNMB"
"SLC11A1.1" 0 0.673793435365537 0.816 0.743 0 "1" "SLC11A1"
"SCIN.1" 0 0.670286370818853 0.712 0.612 0 "1" "SCIN"
"CPM.1" 0 0.630957214060916 0.678 0.603 0 "1" "CPM"
"SH3PXD2A.1" 0 0.600702278794413 0.839 0.829 0 "1" "SH3PXD2A"
"TRHDE.1" 0 0.57804439772573 0.831 0.742 0 "1" "TRHDE"
"ASAP1.1" 0 0.560600755177966 0.859 0.804 0 "1" "ASAP1"
"DIRC3.1" 0 0.553000988085656 0.719 0.697 0 "1" "DIRC3"
"STARD13.1" 0 0.530632662489865 0.873 0.849 0 "1" "STARD13"
"AC066613.2" 0 0.52859819126447 0.791 0.737 0 "1" "AC066613.2"
"UGCG.1" 0 0.523053743826262 0.735 0.647 0 "1" "UGCG"
"CADM1.1" 0 0.521094683897612 0.726 0.673 0 "1" "CADM1"
"CYTH3" 0 0.521054043449937 0.831 0.727 0 "1" "CYTH3"
"OLR1" 0 0.517638318529348 0.855 0.884 0 "1" "OLR1"
"RGCC.1" 0 0.516302051213453 0.833 0.762 0 "1" "RGCC"
"NIBAN1" 0 0.501545171990252 0.766 0.696 0 "1" "NIBAN1"
